cod_producto;descripcion_raiz;desc_ext;concentracion;id_forma;id_labo;habilitaciones
85630033;CLARITYNE D;;;13;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
177100082;CLARIVIS;;0.025%;4;519;GUATEMALA
112670012;CLARIX;;500MG;9;89;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
38420033;CLARIXOL;;;13;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
38420016;CLARIXOL;;;1;104;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
204220011;CLARMIL;;25MG;12;84;NICARAGUA
5700012;CLARUS;;25MG;9;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
5700112;CLARUS;;50MG;9;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
5700212;CLARUS;;100MG;9;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
105470033;CLARUS-D;;;13;85;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
36840082;CLARVISAN;;;4;192;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
161930016;CLARYMICIN;;500MG;1;342;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
229320031;CLASI BAC;;;10;727;R.DOMINICANA
41460065;CLASIFEL;;0.04;5;7;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
157790045;CLASOFEM DUO;;;34;97;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
149610033;CLASSVIXOL;;15MG/5ML;13;97;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
222100051;CLASSVIXONA;;500MG;29;728;GUATEMALA
85480012;CLATRIX;;500MG;9;82;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
85480034;CLATRIX;;250MG;6;82;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
89810016;CLATROCIN;;250MG;1;155;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
71230016;CLATROMIN-A;;500/45MG;1;43;R.DOMINICANA
203150013;CLAULACTIN;;875/125MG;2;106;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
203150034;CLAULACTIN;BID;400MG/57MG;6;106;EL SALVADOR
203150030;CLAULACTIN;;500/125MG;14;106;EL SALVADOR
72350016;CLAVAM;;500/125MG;1;667;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
72350034;CLAVAM;;125MG/31.25MG;6;667;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
72350134;CLAVAM;FORTE;250/62.5MG;6;667;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
72350116;CLAVAM;;875/125MG;1;667;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
88270044;CLAVEL;;100MG;35;174;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
225700044;CLAVEL K;;100MG/400MG;35;174;R.DOMINICANA
88280044;CLAVEL PLUS;;;35;174;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
138670034;CLAVIMOX BID;;400/57MG;6;113;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
138670016;CLAVIMOX BID;;875/125MG;1;113;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
138670134;CLAVIMOX BID;;600/42.9MG;6;113;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
124320012;CLAVINEX DUO;;875/125MG;9;176;GUATEMALA-EL SALVADOR-PANAMA-R.DOMINICANA
124320034;CLAVINEX DUO;;400/57MG;6;176;GUATEMALA-EL SALVADOR-PANAMA-R.DOMINICANA
124320134;CLAVINEX DUO;FORTE;;6;176;GUATEMALA-EL SALVADOR-PANAMA-R.DOMINICANA
191430025;CLAVINEX DUO CD;COMP.DISP;875/125MG;45;176;GUATEMALA
170740034;CLAVIPHAR;;600MG;6;219;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
170740016;CLAVIPHAR;;875MG/125MG;1;219;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
170740134;CLAVIPHAR;;400MG;6;219;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
207300011;CLAVIQUE D-3;;100000UI;12;43;R.DOMINICANA
33750034;CLAVOXILIN;;250MG;6;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
33750016;CLAVOXILIN;;;1;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
181790034;CLAVOXILIN PLUS;;400/57MG;6;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
181790016;CLAVOXILIN PLUS;;500/125MG;1;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
181790116;CLAVOXILIN PLUS;;875/125MG;1;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
181790134;CLAVOXILIN PLUS;;250/62.5MG;6;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
181790234;CLAVOXILIN PLUS;;600/42.9MG;6;137;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
107690012;CLAVOXILINA BID;;875/125MG;9;97;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
208460034;CLAVU;600;600/42.9MG;6;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
229430034;CLAVUAVAN;;400MG/57MG/5ML;6;202;GUATEMALA
184800016;CLAVUCYD BID;;875/125MG;1;276;R.DOMINICANA
184800034;CLAVUCYD BID;;400/57MG;6;276;R.DOMINICANA
184800134;CLAVUCYD BID;;600MG;6;276;R.DOMINICANA
140830016;CLAVUDEL;BID;875/125MG;1;179;GUATEMALA-EL SALVADOR
140830034;CLAVUDEL;;200MG;6;179;GUATEMALA-EL SALVADOR
140830134;CLAVUDEL;BID;400MG;6;179;GUATEMALA-EL SALVADOR
140830234;CLAVUDEL;ES;;6;179;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
123170016;CLAVUFER;;;1;97;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
149800034;CLAVUFERQUEM;;;6;729;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
220910016;CLAVULAX;;875MG/125MG;1;134;EL SALVADOR
220910034;CLAVULAX;;400MG/57MG/5ML;6;134;EL SALVADOR
177160013;CLAVULIN;;500/125MG;2;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
177160034;CLAVULIN;;125MG/31.25MG;6;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
177160134;CLAVULIN;;250/62.5MG;6;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
177160113;CLAVULIN;C12;875/125MG;2;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
177160234;CLAVULIN;C12;400/57MG;6;26;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS
5560034;CLAVULIN C12;;400/57MG;6;26;R.DOMINICANA
5560012;CLAVULIN C12;;875/125MG;9;26;R.DOMINICANA
240640013;CLAVUMOXIN;;875MG/125MG;2;140;GUATEMALA
240640034;CLAVUMOXIN;;400MG/57MG/5ML;6;140;GUATEMALA
172170034;CLAVUNET BID;;400MG;6;546;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
172170016;CLAVUNET BID;;875MG;1;546;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
197300013;CLAVUNOVUM;;875/125MG;2;276;GUATEMALA-COSTA_RICA
66750016;CLAVUPEN;;100MG;1;27;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
66750116;CLAVUPEN;;50MG;1;27;GUATEMALA-COSTA_RICA-EL SALVADOR-PANAMA-NICARAGUA-HONDURAS-R.DOMINICANA
215960034;CLAVUPHAR DUO;;250/62.5MG;6;302;HONDURAS
